"","tripdata_v2$member_casual","tripdata_v2$day_of_week","tripdata_v2$ride_length"
"1","casual","Sunday",2031.11826026072
"2","member","Sunday",844.733660242175
"3","casual","Monday",1757.60428751399
"4","member","Monday",737.709665232406
"5","casual","Tuesday",1561.18351715686
"6","member","Tuesday",728.101150843131
"7","casual","Wednesday",1494.38081076567
"8","member","Wednesday",724.780963079741
"9","casual","Thursday",1528.24724463833
"10","member","Thursday",734.868247150173
"11","casual","Friday",1674.3550313315
"12","member","Friday",748.652241589451
"13","casual","Saturday",1958.04038114393
"14","member","Saturday",850.970251968054
